date,name,value,rank,lastValue
2020-01-04,フレデリック,0,27,0
2020-01-04,久石譲,0,54,0
2020-01-05,Anderson .Paak,0,17,0
2020-01-05,Antônio Carlos Jobim,0,43,0
2020-01-05,Arctic Monkeys,0,32,0
2020-01-05,Babu Santana,0,33,0
2020-01-05,Baco Exu do Blues,0,34,0
2020-01-05,Castlebeat,0,35,0
2020-01-05,Chico Buarque,0,36,0
2020-01-05,Chihiro Yamanaka,0,37,0
2020-01-05,Christian McBride,0,38,0
2020-01-05,Cory Wong,30,1,1
2020-01-05,Daft Punk,0,39,0
2020-01-05,Emicida,0,40,0
2020-01-05,Fitz and the Tantrums,0,41,0
2020-01-05,Foster the People,72,0,66
2020-01-05,Gen Hoshino,0,31,0
2020-01-05,Guru Woof Música Relaxante Para Crianças,0,42,0
2020-01-05,Hermeto Pascoal,0,44,0
2020-01-05,Hiromi,0,45,0
2020-01-05,J Rabbit,0,46,0
2020-01-05,Jamiroquai,13,2,13
2020-01-05,Jimi Hendrix,0,47,0
2020-01-05,Jimmy Ponder,0,48,0
2020-01-05,John Mayer,0,49,0
2020-01-05,KT Tunstall,0,50,0
2020-01-05,Kenshi Yonezu,0,51,0
2020-01-05,Khruangbin,0,52,0
2020-01-05,Kristen Bell,0,53,0
2020-01-05,Novos Baianos,0,29,0
2020-01-05,OKAMOTO'S,0,30,0
2020-01-05,Oscar Peterson,1,8,1
2020-01-05,Phoenix,5,4,0
2020-01-05,Pomplamoose,0,15,0
2020-01-05,Public Enemy,0,12,0
2020-01-05,Rage Against the Machine,7,3,0
2020-01-05,Red Hot Chili Peppers,1,7,1
2020-01-05,Rina Sawayama,0,10,0
2020-01-05,Romes,0,13,0
2020-01-05,Saint Motel,0,14,0
2020-01-05,Sakanaction,0,16,0
2020-01-05,Self,0,11,0
2020-01-05,Stella Jang,0,18,0
2020-01-05,Taichi Mukai,0,19,0
2020-01-05,Tame Impala,0,20,0
2020-01-05,The Dave Brubeck Quartet,0,28,0
2020-01-05,The Fearless Flyers,0,21,0
2020-01-05,The Knocks,4,5,4
2020-01-05,The Kooks,0,22,0
2020-01-05,The Shins,1,9,1
2020-01-05,The Strokes,0,23,0
2020-01-05,UNISON SQUARE GARDEN,0,24,0
2020-01-05,Vulfpeck,1,6,1
2020-01-05,Wednesday Campanella,0,25,0
2020-01-05,Yuki Hayashi,0,26,0
2020-01-05,フレデリック,0,27,0
2020-01-05,久石譲,0,54,0
2020-01-06,Anderson .Paak,0,18,0
2020-01-06,Antônio Carlos Jobim,0,53,0
2020-01-06,Arctic Monkeys,0,34,0
2020-01-06,Babu Santana,0,35,0
2020-01-06,Baco Exu do Blues,0,36,0
2020-01-06,Castlebeat,0,37,0
2020-01-06,Chico Buarque,0,38,0
2020-01-06,Chihiro Yamanaka,0,39,0
2020-01-06,Christian McBride,0,40,0
2020-01-06,Cory Wong,31,1,30
2020-01-06,Daft Punk,0,41,0
2020-01-06,Emicida,0,42,0
2020-01-06,Fitz and the Tantrums,0,33,0
2020-01-06,Foster the People,83,0,72
2020-01-06,Gen Hoshino,0,43,0
2020-01-06,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-06,Hermeto Pascoal,0,46,0
2020-01-06,Hiromi,2,8,0
2020-01-06,J Rabbit,0,47,0
2020-01-06,Jamiroquai,13,3,13
2020-01-06,Jimi Hendrix,0,48,0
2020-01-06,Jimmy Ponder,0,49,0
2020-01-06,John Mayer,12,4,0
2020-01-06,KT Tunstall,0,50,0
2020-01-06,Kenshi Yonezu,0,51,0
2020-01-06,Khruangbin,0,52,0
2020-01-06,Kristen Bell,6,6,0
2020-01-06,Novos Baianos,0,31,0
2020-01-06,OKAMOTO'S,0,44,0
2020-01-06,Oscar Peterson,1,12,1
2020-01-06,Phoenix,5,7,5
2020-01-06,Pomplamoose,0,32,0
2020-01-06,Public Enemy,0,21,0
2020-01-06,Rage Against the Machine,22,2,7
2020-01-06,Red Hot Chili Peppers,1,11,1
2020-01-06,Rina Sawayama,0,13,0
2020-01-06,Romes,0,14,0
2020-01-06,Saint Motel,0,15,0
2020-01-06,Sakanaction,0,16,0
2020-01-06,Self,0,17,0
2020-01-06,Stella Jang,0,19,0
2020-01-06,Taichi Mukai,0,20,0
2020-01-06,Tame Impala,0,30,0
2020-01-06,The Dave Brubeck Quartet,0,22,0
2020-01-06,The Fearless Flyers,0,23,0
2020-01-06,The Knocks,6,5,4
2020-01-06,The Kooks,0,24,0
2020-01-06,The Shins,1,9,1
2020-01-06,The Strokes,0,25,0
2020-01-06,UNISON SQUARE GARDEN,0,26,0
2020-01-06,Vulfpeck,1,10,1
2020-01-06,Wednesday Campanella,0,27,0
2020-01-06,Yuki Hayashi,0,28,0
2020-01-06,フレデリック,0,29,0
2020-01-06,久石譲,0,54,0
2020-01-07,Anderson .Paak,0,31,0
2020-01-07,Antônio Carlos Jobim,0,53,0
2020-01-07,Arctic Monkeys,0,34,0
2020-01-07,Babu Santana,0,35,0
2020-01-07,Baco Exu do Blues,0,36,0
2020-01-07,Castlebeat,0,37,0
2020-01-07,Chico Buarque,0,38,0
2020-01-07,Chihiro Yamanaka,0,39,0
2020-01-07,Christian McBride,0,40,0
2020-01-07,Cory Wong,31,1,31
2020-01-07,Daft Punk,0,41,0
2020-01-07,Emicida,0,42,0
2020-01-07,Fitz and the Tantrums,0,33,0
2020-01-07,Foster the People,83,0,83
2020-01-07,Gen Hoshino,0,43,0
2020-01-07,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-07,Hermeto Pascoal,0,46,0
2020-01-07,Hiromi,2,10,2
2020-01-07,J Rabbit,0,47,0
2020-01-07,Jamiroquai,13,4,13
2020-01-07,Jimi Hendrix,0,48,0
2020-01-07,Jimmy Ponder,0,49,0
2020-01-07,John Mayer,12,5,12
2020-01-07,KT Tunstall,0,50,0
2020-01-07,Kenshi Yonezu,0,51,0
2020-01-07,Khruangbin,0,52,0
2020-01-07,Kristen Bell,8,7,6
2020-01-07,Novos Baianos,11,6,0
2020-01-07,OKAMOTO'S,0,44,0
2020-01-07,Oscar Peterson,1,11,1
2020-01-07,Phoenix,5,9,5
2020-01-07,Pomplamoose,0,32,0
2020-01-07,Public Enemy,0,26,0
2020-01-07,Rage Against the Machine,22,2,22
2020-01-07,Red Hot Chili Peppers,1,12,1
2020-01-07,Rina Sawayama,0,18,0
2020-01-07,Romes,0,19,0
2020-01-07,Saint Motel,0,20,0
2020-01-07,Sakanaction,0,22,0
2020-01-07,Self,0,21,0
2020-01-07,Stella Jang,0,24,0
2020-01-07,Taichi Mukai,0,25,0
2020-01-07,Tame Impala,0,30,0
2020-01-07,The Dave Brubeck Quartet,0,27,0
2020-01-07,The Fearless Flyers,0,29,0
2020-01-07,The Knocks,6,8,6
2020-01-07,The Kooks,0,14,0
2020-01-07,The Shins,19,3,1
2020-01-07,The Strokes,0,23,0
2020-01-07,UNISON SQUARE GARDEN,0,28,0
2020-01-07,Vulfpeck,1,13,1
2020-01-07,Wednesday Campanella,0,15,0
2020-01-07,Yuki Hayashi,0,17,0
2020-01-07,フレデリック,0,16,0
2020-01-07,久石譲,0,54,0
2020-01-08,Anderson .Paak,0,31,0
2020-01-08,Antônio Carlos Jobim,0,53,0
2020-01-08,Arctic Monkeys,0,34,0
2020-01-08,Babu Santana,0,35,0
2020-01-08,Baco Exu do Blues,0,36,0
2020-01-08,Castlebeat,0,37,0
2020-01-08,Chico Buarque,0,38,0
2020-01-08,Chihiro Yamanaka,0,39,0
2020-01-08,Christian McBride,0,40,0
2020-01-08,Cory Wong,34,1,31
2020-01-08,Daft Punk,0,41,0
2020-01-08,Emicida,0,42,0
2020-01-08,Fitz and the Tantrums,0,33,0
2020-01-08,Foster the People,100,0,83
2020-01-08,Gen Hoshino,0,43,0
2020-01-08,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-08,Hermeto Pascoal,0,46,0
2020-01-08,Hiromi,2,10,2
2020-01-08,J Rabbit,0,47,0
2020-01-08,Jamiroquai,13,4,13
2020-01-08,Jimi Hendrix,0,48,0
2020-01-08,Jimmy Ponder,0,49,0
2020-01-08,John Mayer,12,5,12
2020-01-08,KT Tunstall,0,50,0
2020-01-08,Kenshi Yonezu,0,51,0
2020-01-08,Khruangbin,0,52,0
2020-01-08,Kristen Bell,10,7,8
2020-01-08,Novos Baianos,11,6,11
2020-01-08,OKAMOTO'S,0,44,0
2020-01-08,Oscar Peterson,1,12,1
2020-01-08,Phoenix,5,9,5
2020-01-08,Pomplamoose,0,32,0
2020-01-08,Public Enemy,0,26,0
2020-01-08,Rage Against the Machine,22,2,22
2020-01-08,Red Hot Chili Peppers,1,13,1
2020-01-08,Rina Sawayama,0,18,0
2020-01-08,Romes,0,19,0
2020-01-08,Saint Motel,0,20,0
2020-01-08,Sakanaction,0,22,0
2020-01-08,Self,0,30,0
2020-01-08,Stella Jang,0,24,0
2020-01-08,Taichi Mukai,0,25,0
2020-01-08,Tame Impala,1,11,0
2020-01-08,The Dave Brubeck Quartet,0,27,0
2020-01-08,The Fearless Flyers,0,29,0
2020-01-08,The Knocks,6,8,6
2020-01-08,The Kooks,0,21,0
2020-01-08,The Shins,19,3,19
2020-01-08,The Strokes,0,23,0
2020-01-08,UNISON SQUARE GARDEN,0,28,0
2020-01-08,Vulfpeck,1,14,1
2020-01-08,Wednesday Campanella,0,15,0
2020-01-08,Yuki Hayashi,0,17,0
2020-01-08,フレデリック,0,16,0
2020-01-08,久石譲,0,54,0
2020-01-09,Anderson .Paak,0,31,0
2020-01-09,Antônio Carlos Jobim,0,53,0
2020-01-09,Arctic Monkeys,0,34,0
2020-01-09,Babu Santana,0,35,0
2020-01-09,Baco Exu do Blues,0,36,0
2020-01-09,Castlebeat,0,37,0
2020-01-09,Chico Buarque,0,38,0
2020-01-09,Chihiro Yamanaka,0,39,0
2020-01-09,Christian McBride,0,40,0
2020-01-09,Cory Wong,34,1,34
2020-01-09,Daft Punk,0,41,0
2020-01-09,Emicida,0,42,0
2020-01-09,Fitz and the Tantrums,0,33,0
2020-01-09,Foster the People,122,0,100
2020-01-09,Gen Hoshino,0,43,0
2020-01-09,Guru Woof Música Relaxante Para Crianças,0,45,0
2020-01-09,Hermeto Pascoal,0,46,0
2020-01-09,Hiromi,2,10,2
2020-01-09,J Rabbit,0,47,0
2020-01-09,Jamiroquai,13,4,13
2020-01-09,Jimi Hendrix,0,48,0
